# Written on 30Jul2015 at 12:03:26 
# Input file comment: Sample kpoints
#  Kpt_idx  K_x (1/ang)       K_y (1/ang)        K_z (1/ang)       Energy (eV)
         6  0.4027682889E-02   0.000000000       0.000000000      -2.769633187    
         6  0.4027682889E-02   0.000000000       0.000000000      -2.737315491    
         6  0.4027682889E-02   0.000000000       0.000000000      -2.087906148    
         6  0.4027682889E-02   0.000000000       0.000000000      -2.053732021    
         6  0.4027682889E-02   0.000000000       0.000000000      -1.248549254    
         6  0.4027682889E-02   0.000000000       0.000000000      -1.196534402    
         6  0.4027682889E-02   0.000000000       0.000000000     -0.5172298543    
         7  0.4833219467E-02   0.000000000       0.000000000      -3.643709557    
         7  0.4833219467E-02   0.000000000       0.000000000      -3.550682668    
         7  0.4833219467E-02   0.000000000       0.000000000      -3.537802570    
         7  0.4833219467E-02   0.000000000       0.000000000      -3.257613437    
         7  0.4833219467E-02   0.000000000       0.000000000      -3.235891455    
         7  0.4833219467E-02   0.000000000       0.000000000      -2.772830394    
         7  0.4833219467E-02   0.000000000       0.000000000      -2.734050694    
         7  0.4833219467E-02   0.000000000       0.000000000      -2.091311817    
         7  0.4833219467E-02   0.000000000       0.000000000      -2.050300683    
         7  0.4833219467E-02   0.000000000       0.000000000      -1.253730281    
         7  0.4833219467E-02   0.000000000       0.000000000      -1.191317736    
         7  0.4833219467E-02   0.000000000       0.000000000     -0.5174860421    
         8  0.5638756045E-02   0.000000000       0.000000000      -3.643693718    
         8  0.5638756045E-02   0.000000000       0.000000000      -3.551714318    
         8  0.5638756045E-02   0.000000000       0.000000000      -3.536688909    
         8  0.5638756045E-02   0.000000000       0.000000000      -3.259397877    
         8  0.5638756045E-02   0.000000000       0.000000000      -3.234054422    
         8  0.5638756045E-02   0.000000000       0.000000000      -2.776021049    
         8  0.5638756045E-02   0.000000000       0.000000000      -2.730780179    
         8  0.5638756045E-02   0.000000000       0.000000000      -2.094715734    
         8  0.5638756045E-02   0.000000000       0.000000000      -2.046866404    
         8  0.5638756045E-02   0.000000000       0.000000000      -1.258906665    
         8  0.5638756045E-02   0.000000000       0.000000000      -1.186099304    
