# Written on 30Jul2015 at 12:00:39 
# Input file comment: Sample kpoints
#  Kpt_idx  K_x (1/ang)       K_y (1/ang)        K_z (1/ang)       Energy (eV)
        49  0.1546630229       0.000000000       0.000000000      -2.735609307    
        49  0.1546630229       0.000000000       0.000000000      -1.254828489    
        50  0.1578851693       0.000000000       0.000000000      -3.549166724    
        50  0.1578851693       0.000000000       0.000000000      -2.744568925    
        50  0.1578851693       0.000000000       0.000000000      -1.238801940    
        51  0.1611073156       0.000000000       0.000000000      -3.544354442    
        51  0.1611073156       0.000000000       0.000000000      -2.753549435    
        51  0.1611073156       0.000000000       0.000000000      -1.222580631    
        52  0.1643294619       0.000000000       0.000000000      -3.539469191    
        52  0.1643294619       0.000000000       0.000000000      -2.762564470    
        52  0.1643294619       0.000000000       0.000000000      -1.206155809    
        53  0.1675516082       0.000000000       0.000000000      -3.534517516    
        53  0.1675516082       0.000000000       0.000000000      -2.771626577    
        53  0.1675516082       0.000000000       0.000000000      -1.189520879    
        54  0.1707737545       0.000000000       0.000000000      -3.529505780    
        54  0.1707737545       0.000000000       0.000000000      -2.780747130    
        54  0.1707737545       0.000000000       0.000000000      -1.172671532    
        55  0.1739959008       0.000000000       0.000000000      -3.524440110    
        55  0.1739959008       0.000000000       0.000000000      -2.789936270    
        55  0.1739959008       0.000000000       0.000000000      -1.155605861    
        56  0.1772180471       0.000000000       0.000000000      -3.519326337    
        56  0.1772180471       0.000000000       0.000000000      -2.799202844    
        56  0.1772180471       0.000000000       0.000000000      -1.138324443    
        57  0.1804401934       0.000000000       0.000000000      -3.514169946    
        57  0.1804401934       0.000000000       0.000000000      -2.808554372    
        57  0.1804401934       0.000000000       0.000000000      -1.120830412    
        58  0.1836623397       0.000000000       0.000000000      -3.508976029    
        58  0.1836623397       0.000000000       0.000000000      -2.817997010    
        58  0.1836623397       0.000000000       0.000000000      -1.103129504    
        59  0.1868844861       0.000000000       0.000000000      -3.503749245    
        59  0.1868844861       0.000000000       0.000000000      -2.827535545    
        59  0.1868844861       0.000000000       0.000000000      -1.085230077    
        60  0.1901066324       0.000000000       0.000000000      -3.498493785    
        60  0.1901066324       0.000000000       0.000000000      -2.837173388    
        60  0.1901066324       0.000000000       0.000000000      -1.067143113    
        61  0.1933287787       0.000000000       0.000000000      -3.493213340    
        61  0.1933287787       0.000000000       0.000000000      -2.846912590    
        61  0.1933287787       0.000000000       0.000000000      -1.048882197    
        62  0.1965509250       0.000000000       0.000000000      -3.487911082    
        62  0.1965509250       0.000000000       0.000000000      -2.856753869    
        62  0.1965509250       0.000000000       0.000000000      -1.030463470    
        63  0.1997730713       0.000000000       0.000000000      -3.482589643    
        63  0.1997730713       0.000000000       0.000000000      -2.866696641    
        63  0.1997730713       0.000000000       0.000000000      -1.011905564    
        64  0.2029952176       0.000000000       0.000000000      -3.477251105    
        64  0.2029952176       0.000000000       0.000000000      -2.876739076    
        64  0.2029952176       0.000000000       0.000000000     -0.9932295212    
        65  0.2062173639       0.000000000       0.000000000      -3.471896993    
        65  0.2062173639       0.000000000       0.000000000      -2.886878152    
        65  0.2062173639       0.000000000       0.000000000     -0.9744586879    
        66  0.2094395102       0.000000000       0.000000000      -3.466528273    
        66  0.2094395102       0.000000000       0.000000000      -2.897109722    
        66  0.2094395102       0.000000000       0.000000000     -0.9556185964    
        67  0.2126616566       0.000000000       0.000000000      -3.461145357    
        67  0.2126616566       0.000000000       0.000000000      -2.907428594    
        67  0.2126616566       0.000000000       0.000000000     -0.9367368313    
        68  0.2158838029       0.000000000       0.000000000      -3.455748107    
        68  0.2158838029       0.000000000       0.000000000      -2.917828603    
        68  0.2158838029       0.000000000       0.000000000     -0.9178428818    
        69  0.2191059492       0.000000000       0.000000000      -3.450335851    
        69  0.2191059492       0.000000000       0.000000000      -2.928302708    
        69  0.2191059492       0.000000000       0.000000000     -0.8989679840    
        70  0.2223280955       0.000000000       0.000000000      -3.444907396    
        70  0.2223280955       0.000000000       0.000000000      -2.938843075    
        70  0.2223280955       0.000000000       0.000000000     -0.8801449525    
        71  0.2255502418       0.000000000       0.000000000      -3.439461048    
        71  0.2255502418       0.000000000       0.000000000      -2.949441173    
        71  0.2255502418       0.000000000       0.000000000     -0.8614080057    
        72  0.2287723881       0.000000000       0.000000000      -3.433994630    
        72  0.2287723881       0.000000000       0.000000000      -2.960087869    
        72  0.2287723881       0.000000000       0.000000000     -0.8427925842    
        73  0.2319945344       0.000000000       0.000000000      -3.428505511    
        73  0.2319945344       0.000000000       0.000000000      -2.970773524    
        73  0.2319945344       0.000000000       0.000000000     -0.8243351656    
        74  0.2352166807       0.000000000       0.000000000      -3.422990629    
        74  0.2352166807       0.000000000       0.000000000      -2.981488084    
        74  0.2352166807       0.000000000       0.000000000     -0.8060730763    
        75  0.2384388270       0.000000000       0.000000000      -3.417446518    
        75  0.2384388270       0.000000000       0.000000000      -2.992221177    
        75  0.2384388270       0.000000000       0.000000000     -0.7880443021    
        76  0.2416609734       0.000000000       0.000000000      -3.411869341    
        76  0.2416609734       0.000000000       0.000000000      -3.002962207    
        76  0.2416609734       0.000000000       0.000000000     -0.7702872989    
        77  0.2448831197       0.000000000       0.000000000      -3.406254918    
        77  0.2448831197       0.000000000       0.000000000      -3.013700434    
        77  0.2448831197       0.000000000       0.000000000     -0.7528408051    
        78  0.2481052660       0.000000000       0.000000000      -3.400598760    
        78  0.2481052660       0.000000000       0.000000000      -3.024425069    
        78  0.2481052660       0.000000000       0.000000000     -0.7357436555    
        79  0.2513274123       0.000000000       0.000000000      -3.394896100    
        79  0.2513274123       0.000000000       0.000000000      -3.035125349    
        79  0.2513274123       0.000000000       0.000000000     -0.7190345990    
        80  0.2545495586       0.000000000       0.000000000      -3.389141928    
        80  0.2545495586       0.000000000       0.000000000      -3.045790614    
        80  0.2545495586       0.000000000       0.000000000     -0.7027521205    
        81  0.2577717049       0.000000000       0.000000000      -3.383331026    
        81  0.2577717049       0.000000000       0.000000000      -3.056410383    
        81  0.2577717049       0.000000000       0.000000000     -0.6869342673    
        82  0.2609938512       0.000000000       0.000000000      -3.377458000    
        82  0.2609938512       0.000000000       0.000000000      -3.066974419    
        82  0.2609938512       0.000000000       0.000000000     -0.6716184812    
        83  0.2642159975       0.000000000       0.000000000      -3.371517319    
        83  0.2642159975       0.000000000       0.000000000      -3.077472788    
        83  0.2642159975       0.000000000       0.000000000     -0.6568414366    
        84  0.2674381438       0.000000000       0.000000000      -3.365503347    
        84  0.2674381438       0.000000000       0.000000000      -3.087895922    
        84  0.2674381438       0.000000000       0.000000000     -0.6426388845    
        85  0.2706602902       0.000000000       0.000000000      -3.359410382    
        85  0.2706602902       0.000000000       0.000000000      -3.098234666    
        85  0.2706602902       0.000000000       0.000000000     -0.6290455045    
        86  0.2738824365       0.000000000       0.000000000      -3.353232690    
        86  0.2738824365       0.000000000       0.000000000      -3.108480323    
        86  0.2738824365       0.000000000       0.000000000     -0.6160947627    
        87  0.2771045828       0.000000000       0.000000000      -3.346964541    
        87  0.2771045828       0.000000000       0.000000000      -3.118624701    
        87  0.2771045828       0.000000000       0.000000000     -0.6038187773    
        88  0.2803267291       0.000000000       0.000000000      -3.340600246    
        88  0.2803267291       0.000000000       0.000000000      -3.128660139    
        88  0.2803267291       0.000000000       0.000000000     -0.5922481925    
        89  0.2835488754       0.000000000       0.000000000      -3.334134194    
        89  0.2835488754       0.000000000       0.000000000      -3.138579545    
        89  0.2835488754       0.000000000       0.000000000     -0.5814120592    
        90  0.2867710217       0.000000000       0.000000000      -3.327560887    
        90  0.2867710217       0.000000000       0.000000000      -3.148376416    
        90  0.2867710217       0.000000000       0.000000000     -0.5713377242    
        91  0.2899931680       0.000000000       0.000000000      -3.320874975    
        91  0.2899931680       0.000000000       0.000000000      -3.158044862    
        91  0.2899931680       0.000000000       0.000000000     -0.5620507270    
        92  0.2932153143       0.000000000       0.000000000      -3.314071295    
        92  0.2932153143       0.000000000       0.000000000      -3.167579616    
        92  0.2932153143       0.000000000       0.000000000     -0.5535747051    
        93  0.2964374606       0.000000000       0.000000000      -3.307144905    
        93  0.2964374606       0.000000000       0.000000000      -3.176976048    
        93  0.2964374606       0.000000000       0.000000000     -0.5459313072    
        94  0.2996596070       0.000000000       0.000000000      -3.300091118    
        94  0.2996596070       0.000000000       0.000000000      -3.186230173    
        94  0.2996596070       0.000000000       0.000000000     -0.5391401142    
        95  0.3028817533       0.000000000       0.000000000      -3.292905540    
        95  0.3028817533       0.000000000       0.000000000      -3.195338647    
        95  0.3028817533       0.000000000       0.000000000     -0.5332185696    
        96  0.3061038996       0.000000000       0.000000000      -3.285584102    
        96  0.3061038996       0.000000000       0.000000000      -3.204298770    
        96  0.3061038996       0.000000000       0.000000000     -0.5281819165    
        97  0.3093260459       0.000000000       0.000000000      -3.278123092    
        97  0.3093260459       0.000000000       0.000000000      -3.213108477    
        97  0.3093260459       0.000000000       0.000000000     -0.5240431441    
        98  0.3125481922       0.000000000       0.000000000      -3.270519194    
        98  0.3125481922       0.000000000       0.000000000      -3.221766330    
        98  0.3125481922       0.000000000       0.000000000     -0.5208129425    
        99  0.3157703385       0.000000000       0.000000000      -3.262769511    
        99  0.3157703385       0.000000000       0.000000000      -3.230271507    
        99  0.3157703385       0.000000000       0.000000000     -0.5184996645    
       100  0.3189924848       0.000000000       0.000000000      -3.254871602    
       100  0.3189924848       0.000000000       0.000000000      -3.238623780    
       100  0.3189924848       0.000000000       0.000000000     -0.5171092975    
       101  0.3222146311       0.000000000       0.000000000      -3.246826390    
       101  0.3222146311       0.000000000       0.000000000      -3.246820625    
       101  0.3222146311       0.000000000       0.000000000     -0.5166454419    
